id,target
0,0.01943
1,0.02965
2,0.02476
3,0.02358
4,0.01342
5,0.02684
6,0.04726
8,0.02849
10,0.07636
11,0.02861
12,0.03760
14,0.02353
15,0.05291
18,0.04717
21,0.03790
23,0.04933
24,0.02842
25,0.03091
27,0.06542
29,0.04164
30,0.02626
31,0.05307
32,0.06072
33,0.06448
37,0.02168
38,0.03737
39,0.04145
40,0.03033
41,0.05134
42,0.02691
44,0.01965
45,0.02368
47,0.05023
49,0.01671
51,0.03755
52,0.02259
53,0.04276
54,0.03974
55,0.01881
56,0.04041
57,0.05280
59,0.06533
60,0.03836
62,0.01879
63,0.07107
67,0.02856
68,0.01706
69,0.06265
70,0.02700
71,0.03738
73,0.04108
75,0.02960
76,0.02374
81,0.03478
82,0.02442
83,0.02173
86,0.04674
87,0.04422
88,0.01850
91,0.06231
92,0.02570
94,0.02472
97,0.02830
100,0.02665
102,0.03411
103,0.02470
105,0.03664
106,0.04180
108,0.04719
113,0.08767
114,0.02776
115,0.03238
118,0.03487
122,0.03556
124,0.02847
126,0.03194
128,0.03061
129,0.04686
130,0.03260
131,0.04937
132,0.04713
133,0.01633
134,0.06091
135,0.06300
136,0.02558
139,0.02125
140,0.03673
141,0.05086
146,0.02513
148,0.02864
151,0.01515
152,0.04846
154,0.02191
157,0.03392
158,0.01452
159,0.05593
161,0.02690
164,0.02710
165,0.04274
167,0.02361
168,0.04528
169,0.03770
171,0.04606
172,0.06858
173,0.02759
174,0.03949
175,0.05345
176,0.03242
178,0.05020
179,0.02288
180,0.02607
181,0.01393
182,0.03105
183,0.06114
184,0.03562
185,0.02669
187,0.03370
188,0.02394
190,0.03057
191,0.03141
192,0.08004
195,0.03121
196,0.03515
198,0.06440
201,0.04047
202,0.03551
203,0.02160
204,0.02175
207,0.02610
213,0.04137
219,0.03732
220,0.03421
222,0.04870
226,0.01663
228,0.05122
230,0.03014
231,0.03740
232,0.05633
233,0.03198
234,0.01206
236,0.03890
237,0.03406
238,0.06022
240,0.04771
241,0.01746
242,0.05157
243,0.02754
245,0.04903
246,0.06490
247,0.04493
249,0.06053
250,0.03181
251,0.01735
252,0.03613
253,0.01933
254,0.03006
255,0.05704
256,0.04639
257,0.03025
258,0.03345
259,0.05666
260,0.01732
262,0.01687
267,0.02056
268,0.03207
270,0.02190
272,0.03027
273,0.04817
274,0.04345
275,0.02778
276,0.02299
277,0.02582
278,0.04395
279,0.04497
281,0.05609
282,0.02185
283,0.04626
287,0.04874
288,0.04487
289,0.04029
290,0.01778
291,0.03927
292,0.07267
293,0.03360
294,0.01831
295,0.02348
296,0.06208
297,0.04650
298,0.02711
299,0.04846
300,0.03933
303,0.04153
304,0.04566
308,0.01438
314,0.07113
315,0.03210
317,0.04314
318,0.05672
320,0.04772
322,0.04841
323,0.03038
327,0.04093
329,0.04664
331,0.03209
332,0.06953
333,0.06291
334,0.02512
335,0.03057
336,0.02912
337,0.04402
341,0.03403
343,0.03506
