id,target
0,0.03248
1,0.03801
2,0.03720
3,0.02893
4,0.02902
5,0.03007
6,0.03559
8,0.03228
10,0.04468
11,0.03385
12,0.03211
14,0.03132
15,0.04085
18,0.03625
21,0.03946
23,0.03994
24,0.03536
25,0.03566
27,0.04455
29,0.03592
30,0.03447
31,0.03869
32,0.04384
33,0.03672
37,0.03254
38,0.03352
39,0.04607
40,0.03298
41,0.03574
42,0.03443
44,0.03064
45,0.03511
47,0.03355
49,0.03118
51,0.03604
52,0.03080
53,0.03677
54,0.04828
55,0.03379
56,0.03518
57,0.04735
59,0.04457
60,0.03770
62,0.03027
63,0.05470
67,0.03747
68,0.02850
69,0.04775
70,0.03709
71,0.04114
73,0.03721
75,0.03790
76,0.03111
81,0.02863
82,0.03630
83,0.03167
86,0.03180
87,0.03717
88,0.03155
91,0.04146
92,0.03768
94,0.03124
97,0.03734
100,0.03721
102,0.03658
103,0.03158
105,0.03809
106,0.04618
108,0.03722
113,0.04792
114,0.03641
115,0.03344
118,0.04105
122,0.02963
124,0.03136
126,0.03290
128,0.03677
129,0.03677
130,0.04330
131,0.04257
132,0.04241
133,0.02976
134,0.04321
135,0.04055
136,0.03123
139,0.03119
140,0.03699
141,0.04151
146,0.03296
148,0.03420
151,0.02929
152,0.04272
154,0.03337
157,0.03363
158,0.02826
159,0.04452
161,0.03618
164,0.03475
165,0.04621
167,0.03535
168,0.04113
169,0.03589
171,0.03795
172,0.04396
173,0.03011
174,0.03672
175,0.03694
176,0.03906
178,0.03691
179,0.03324
180,0.03011
181,0.02712
182,0.04137
183,0.03917
184,0.04545
185,0.03606
187,0.03002
188,0.03199
190,0.03393
191,0.03497
192,0.05487
195,0.03589
196,0.03934
198,0.03835
201,0.03315
202,0.03505
203,0.03289
204,0.03019
207,0.03289
213,0.04272
219,0.03192
220,0.03530
222,0.04225
226,0.03178
228,0.04910
230,0.03567
231,0.03276
232,0.03939
233,0.03629
234,0.02716
236,0.03884
237,0.03446
238,0.04485
240,0.03764
241,0.03015
242,0.04005
243,0.03616
245,0.03565
246,0.05022
247,0.03260
249,0.04662
250,0.03723
251,0.02957
252,0.03943
253,0.02996
254,0.03637
255,0.04813
256,0.03673
257,0.03380
258,0.03803
259,0.04961
260,0.02646
262,0.02881
267,0.03273
268,0.03094
270,0.02909
272,0.03539
273,0.03355
274,0.03828
275,0.03826
276,0.03300
277,0.03590
278,0.04230
279,0.04172
281,0.03903
282,0.03369
283,0.03820
287,0.03448
288,0.03976
289,0.03825
290,0.03465
291,0.04058
