id,target
0,0.02116
1,0.03357
2,0.02821
3,0.01308
4,0.01267
5,0.01854
6,0.03038
8,0.02259
10,0.05165
11,0.04266
12,0.03396
14,0.01623
15,0.07696
18,0.04014
21,0.04274
23,0.02656
24,0.03290
25,0.04246
27,0.05107
29,0.03482
30,0.01761
31,0.08423
32,0.04042
33,0.03437
37,0.04036
38,0.03427
39,0.06913
40,0.03376
41,0.02983
42,0.02720
44,0.02392
45,0.01852
47,0.03914
49,0.01694
51,0.04434
52,0.01922
53,0.03673
54,0.06094
55,0.01777
56,0.01689
57,0.08827
59,0.05117
60,0.04199
62,0.01753
63,0.09445
67,0.03950
68,0.00963
69,0.07573
70,0.03139
71,0.04113
73,0.03505
75,0.01714
76,0.01833
81,0.01455
82,0.02781
83,0.02468
86,0.03327
87,0.05293
88,0.02147
91,0.05964
92,0.02704
94,0.01253
97,0.04161
100,0.02457
102,0.03442
103,0.02203
105,0.04548
106,0.07640
108,0.04591
113,0.04653
114,0.01896
115,0.03369
118,0.05965
122,0.02092
124,0.05250
126,0.03327
128,0.04031
129,0.04897
130,0.05333
131,0.03156
132,0.05365
133,0.01965
134,0.04900
135,0.05942
136,0.01666
139,0.01367
140,0.01807
141,0.07234
146,0.03807
148,0.02672
151,0.01830
152,0.04372
154,0.03941
157,0.03118
158,0.01129
159,0.08801
161,0.02044
164,0.01614
165,0.05981
167,0.04130
168,0.05126
169,0.03850
171,0.04391
172,0.06292
173,0.01211
174,0.02604
175,0.04153
176,0.03199
178,0.03636
179,0.01514
180,0.01670
181,0.01248
182,0.10096
183,0.06959
184,0.06867
185,0.03461
187,0.03894
188,0.01453
190,0.01874
191,0.03617
192,0.08542
195,0.03104
196,0.02296
198,0.06198
201,0.03947
202,0.04816
203,0.01444
204,0.01661
207,0.02479
213,0.03024
219,0.02319
220,0.03352
222,0.06961
226,0.01002
228,0.12113
230,0.02916
231,0.02379
232,0.03950
233,0.01433
234,0.00858
236,0.02658
237,0.02903
238,0.08292
240,0.05143
241,0.02097
242,0.04854
243,0.02955
245,0.02156
246,0.05321
247,0.02000
249,0.09479
250,0.02382
251,0.01785
252,0.02625
253,0.01515
254,0.05875
255,0.07524
256,0.03724
257,0.02194
258,0.02476
259,0.07330
260,0.00750
262,0.01312
267,0.02219
268,0.02415
270,0.01006
272,0.01622
273,0.02520
274,0.01734
275,0.02105
276,0.02441
277,0.04396
278,0.06734
279,0.04588
281,0.03899
282,0.03395
283,0.03562
287,0.02839
288,0.07467
289,0.04329
290,0.01783
291,0.06801
292,0.10750
293,0.02937
294,0.02236
295,0.02004
296,0.14126
297,0.04282
298,0.03753
299,0.07222
300,0.02868
303,0.02711
304,0.06263
308,0.01587
314,0.07285
315,0.02538
317,0.03911
318,0.08487
320,0.06269
322,0.05118
323,0.01705
327,0.04813
329,0.09644
331,0.01892
332,0.18407
333,0.06929
334,0.02176
335,0.01953
336,0.04528
337,0.03773
341,0.03344
343,0.02428
345,0.04056
347,0.03008
348,0.04538
349,0.03163
352,0.02107
353,0.01890
354,0.05148
355,0.02445
356,0.03321
357,0.01501
358,0.02533
359,0.03174
361,0.04552
362,0.03101
365,0.03671
366,0.06405
368,0.03216
369,0.02922
371,0.02331
373,0.01589
376,0.04383
377,0.02239
379,0.04838
381,0.02221
382,0.02127
383,0.01736
384,0.03224
385,0.01976
386,0.04531
387,0.02640
388,0.08560
390,0.02056
391,0.03188
392,0.10179
393,0.02716
394,0.02403
396,0.03742
400,0.03030
402,0.05131
403,0.01622
405,0.04096
407,0.03543
409,0.04813
411,0.04371
412,0.01758
414,0.09600
415,0.02871
416,0.01465
418,0.01795
419,0.02796
421,0.00689
422,0.10745
423,0.03123
424,0.05672
426,0.00883
427,0.09045
428,0.03125
436,0.04563
438,0.04062
442,0.03105
443,0.01673
445,0.02456
446,0.03429
447,0.02252
450,0.05812
452,0.01536
453,0.03225
455,0.02830
458,0.09597
459,0.01173
461,0.04509
463,0.01364
467,0.05306
470,0.03114
471,0.03516
472,0.02275
476,0.08101
477,0.01992
481,0.04646
482,0.07802
483,0.08325
485,0.03029
487,0.01780
488,0.02561
490,0.02705
492,0.02041
494,0.06159
497,0.09946
499,0.02243
500,0.03750
501,0.03507
503,0.01330
505,0.02637
506,0.04433
507,0.03818
509,0.06444
510,0.06064
511,0.04534
512,0.01387
514,0.01804
515,0.02541
516,0.02298
517,0.13486
519,0.02118
520,0.03278
521,0.02626
522,0.04848
523,0.05143
527,0.04259
530,0.08455
532,0.03033
534,0.02973
536,0.03838
539,0.02137
543,0.02202
547,0.03758
550,0.04824
551,0.04365
552,0.02876
553,0.05129
555,0.03061
556,0.02992
557,0.03164
558,0.03175
559,0.02659
560,0.01543
561,0.03449
565,0.03277
566,0.03301
567,0.04230
571,0.03966
572,0.03885
574,0.01360
575,0.01423
576,0.08575
577,0.05606
578,0.01605
579,0.05320
581,0.01396
587,0.01798
589,0.02262
590,0.05427
591,0.02105
592,0.06660
593,0.02183
594,0.11816
595,0.06195
596,0.01112
597,0.03832
598,0.12868
600,0.02089
602,0.00842
605,0.02290
606,0.02168
607,0.02368
612,0.01063
613,0.01782
614,0.01444
615,0.01803
616,0.01508
617,0.01608
618,0.06063
620,0.03108
621,0.01979
622,0.01766
623,0.02185
628,0.03646
631,0.04789
632,0.01916
633,0.03641
634,0.07013
635,0.08119
637,0.02748
638,0.04569
640,0.02728
643,0.02489
644,0.10389
645,0.03634
646,0.03709
649,0.02905
651,0.05363
653,0.01307
654,0.07912
655,0.12712
656,0.02966
658,0.05080
659,0.01067
661,0.04819
662,0.02354
663,0.03116
664,0.10549
665,0.06223
667,0.02678
668,0.03957
671,0.04205
673,0.04556
674,0.04676
675,0.01779
676,0.03694
677,0.01554
678,0.01794
679,0.03281
680,0.04210
681,0.04965
682,0.04172
683,0.02322
684,0.02221
686,0.07824
687,0.05379
688,0.06799
690,0.02996
691,0.03296
692,0.07408
693,0.02890
694,0.03790
695,0.01703
696,0.01640
